,Países,Inmigrantes hombres,Inmigrantes mujeres,Inmigrantes,% Inmigrantes,Var.,year
0,España,2.140.680,1.966.546,4.107.226,"9,33%","5,25",2005
1,Alemania,4.676.178,4.726.269,9.402.447,"11,41%","0,48",2005
2,Reino Unido,2.818.177,3.107.979,5.926.156,"9,78%","1,76",2005
3,Francia,3.300.859,3.436.741,6.737.600,"10,66%","0,36",2005
4,Italia,1.820.290,2.134.500,3.954.790,"6,81%","3,09",2005
5,Portugal,376.774,394.410,771.184,"7,34%","1,03",2005
6,Estados Unidos,19.614.878,19.643.415,39.258.293,"13,28%","0,94",2005
7,Japón,931.198,1.080.357,2.011.555,"1,57%","0,24",2005
8,China,379.920,299.027,678.947,"0,05%","0,01",2005
9,Andorra,26.466,23.832,50.298,"64,03%","0,02",2005
10,Emiratos Árabes Unidos,2.388.299,892.816,3.281.115,"79,91%","-1,79",2005
11,Afganistán,49.274,38.026,87.300,"0,42%","0,05",2005
12,Antigua y Barbuda,11.052,13.689,24.741,"30,93%","0,57",2005
13,Albania,32.993,31.746,64.739,"2,16%","-0,34",2005
14,Armenia,191.401,277.718,469.119,"14,57%","-5,89",2005
15,Angola,30.240,31.089,61.329,"0,31%","0,04",2005
16,Argentina,774.810,898.278,1.673.088,"4,34%","0,15",2005
17,Austria,543.618,592.652,1.136.270,"13,77%","1,35",2005
18,Australia,2.419.190,2.458.840,4.878.030,"24,02%","1,10",2005
19,Azerbaiyán,135.336,166.884,302.220,"3,58%","-0,47",2005
20,Bosnia y Herzegovina,22.473,24.799,47.272,"1,23%","-0,96",2005
21,Barbados,13.575,17.049,30.624,"11,18%","0,65",2005
22,Bangladés,621.228,545.472,1.166.700,"0,84%","0,07",2005
23,Bélgica,620.924,627.809,1.248.733,"11,88%","-0,48",2005
24,Burkina Faso,285.871,311.787,597.658,"4,45%","-0,03",2005
25,Bulgaria,26.594,34.480,61.074,"0,80%","0,27",2005
26,Baréin,288.614,115.404,404.018,"45,45%","7,93",2005
27,Burundi,84.805,88.069,172.874,"2,30%","0,42",2005
28,Benín,107.882,114.007,221.889,"2,78%","0,82",2005
29,Brunéi,55.265,43.176,98.441,"27,42%","-2,21",2005
30,Bolivia,56.019,51.726,107.745,"1,17%","0,07",2005
31,Brasil,343.019,295.563,638.582,"0,35%","-0,04",2005
32,Bahamas,23.646,21.949,45.595,"14,03%","2,00",2005
33,Bután,32.742,7.537,40.279,"6,45%","0,69",2005
34,Botsuana,49.132,35.482,84.614,"4,70%","0,14",2005
35,Bielorrusia,506.988,599.994,1.106.982,"11,35%","0,10",2005
36,Belice,21.045,20.379,41.424,"14,59%","-0,01",2005
37,Canadá,2.915.838,3.163.147,6.078.985,"18,85%","0,89",2005
38,República Democrática del Congo,302.290,320.579,622.869,"1,11%","-0,44",2005
39,República Centroafricana,50.236,44.213,94.449,"2,34%","-1,06",2005
40,República del Congo,173.229,145.495,318.724,"9,86%","-0,85",2005
41,Suiza,922.387,883.050,1.805.437,"24,20%","2,40",2005
42,Costa de Marfil,1.254.690,1.010.400,2.265.090,"12,35%","-1,06",2005
43,Chile,131.414,144.946,276.360,"1,71%","0,55",2005
44,Camerún,146.129,119.374,265.503,"1,50%","0,04",2005
45,Colombia,55.706,51.906,107.612,"0,26%","-0,02",2005
46,Costa Rica,176.335,181.840,358.175,"8,50%","0,34",2005
47,Cuba,5.252,6.683,11.935,"0,11%","-0,05",2005
48,Cabo Verde,6.523,6.177,12.700,"2,67%","0,14",2005
49,Chipre,50.421,66.744,117.165,"15,75%","4,27",2005
50,Chequia,181.719,140.821,322.540,"3,15%","0,99",2005
51,Yibuti,51.315,40.776,92.091,"11,76%","-2,24",2005
