,Países,Inmigrantes hombres,Inmigrantes mujeres,Inmigrantes,% Inmigrantes,Var.,year
0,España,2.892.146,3.054.960,5.947.106,"12,75%","0,06",2017
1,Alemania,6.055.267,6.109.816,12.165.083,"14,69%","2,25",2017
2,Reino Unido,4.205.418,4.636.299,8.841.717,"13,34%","0,47",2017
3,Francia,3.808.841,4.093.942,7.902.783,"11,79%","-0,03",2017
4,Italia,2.691.899,3.215.562,5.907.461,"9,77%","0,20",2017
5,Portugal,410.655,469.533,880.188,"8,55%","0,19",2017
6,Estados Unidos,24.191.609,25.585.361,49.776.970,"15,30%","0,29",2017
7,Japón,1.044.113,1.277.363,2.321.476,"1,83%","0,07",2017
8,China,613.317,386.210,999.527,"0,07%",0,2017
9,Andorra,21.560,19.479,41.039,"54,87%","-4,05",2017
10,Emiratos Árabes Unidos,6.207.324,2.105.200,8.312.524,"89,34%","-0,10",2017
11,Afganistán,66.738,66.874,133.612,"0,45%","-1,27",2017
12,Antigua y Barbuda,12.783,15.863,28.646,"30,02%","0,01",2017
13,Albania,26.721,25.763,52.484,"1,83%","0,02",2017
14,Armenia,77.221,113.498,190.719,"6,42%","0,04",2017
15,Angola,307.681,330.818,638.499,"2,25%","-0,12",2017
16,Argentina,996.316,1.168.208,2.164.524,"4,91%","0,07",2017
17,Austria,797.082,863.201,1.660.283,"18,82%","1,67",2017
18,Australia,3.441.530,3.594.030,7.035.560,"28,41%","0,35",2017
19,Azerbaiyán,124.205,135.036,259.241,"2,62%","-0,10",2017
20,Bosnia y Herzegovina,17.697,19.403,37.100,"1,06%","-0,04",2017
21,Barbados,15.572,19.088,34.660,"12,12%","-0,02",2017
22,Bangladés,791.164,709.757,1.500.921,"0,94%","0,03",2017
23,Bélgica,644.089,624.322,1.268.411,"11,13%","-4,64",2017
24,Burkina Faso,337.349,371.572,708.921,"3,69%","-0,20",2017
25,Bulgaria,68.229,85.574,153.803,"2,18%","0,45",2017
26,Baréin,522.347,200.302,722.649,"48,14%","-3,26",2017
27,Burundi,147.599,151.970,299.569,"2,77%","-0,07",2017
28,Benín,142.168,111.116,253.284,"2,27%","-1,19",2017
29,Brunéi,61.511,47.101,108.612,"25,26%","0,32",2017
30,Bolivia,78.004,70.833,148.837,"1,33%","0,01",2017
31,Brasil,397.090,338.467,735.557,"0,36%","0,01",2017
32,Bahamas,31.259,30.547,61.806,"16,61%","0,32",2017
33,Bután,42.406,9.890,52.296,"7,15%","-0,02",2017
34,Botsuana,91.038,75.392,166.430,"7,55%","2,68",2017
35,Bielorrusia,494.014,584.638,1.078.652,"11,36%","-0,04",2017
36,Belice,30.180,29.818,59.998,"15,46%","0,60",2017
37,Canadá,3.763.100,4.098.126,7.861.226,"21,51%","0,70",2017
38,República Democrática del Congo,427.877,451.346,879.223,"1,07%",0,2017
39,República Centroafricana,47.030,41.744,88.774,"1,93%","0,11",2017
40,República del Congo,218.503,180.387,398.890,"9,18%","-0,25",2017
41,Suiza,1.227.314,1.279.080,2.506.394,"29,54%","0,52",2017
42,Costa de Marfil,1.216.662,980.490,2.197.152,"8,99%","-1,42",2017
43,Chile,230.217,258.354,488.571,"2,65%","-0,91",2017
44,Camerún,266.653,273.613,540.266,"2,20%","0,02",2017
45,Colombia,75.805,66.514,142.319,"0,30%",0,2017
46,Costa Rica,198.822,215.392,414.214,"8,34%","-0,15",2017
47,Cuba,5.861,7.275,13.136,"0,12%","0,07",2017
48,Cabo Verde,7.735,7.560,15.295,"2,80%",0,2017
49,Chipre,82.769,106.204,188.973,"21,87%","-0,77",2017
50,Chequia,248.560,184.730,433.290,"4,08%","0,13",2017
51,Yibuti,61.025,55.064,116.089,"12,30%","0,01",2017
52,Dinamarca,324.239,332.550,656.789,"11,36%","0,92",2017
53,Dominica,3.561,3.221,6.782,"9,49%","-1,88",2017
54,República Dominicana,257.588,167.376,424.964,"4,18%","-1,32",2017
